Valle,Evalle,Cepa,Ecepa,Cosecha,Ecosecha,Dp (mg/L),Cy (mg/L),Pt (mg/L),Pe (mg/L),Mv (mg/L),Peac (mg/L),Mvac (mg/L),Pecu (mg/L),Mvcu (mg/L),logDp (mg/L),logCy (mg/L),logPt (mg/L),logPe (mg/L),logMv (mg/L),logPeac (mg/L),logMvac (mg/L),logPecu (mg/L),logMvcu (mg/L),log Dp %,log Cy %,log Pt %,log Pe %,log Mv %,log Peac %,log Mvac %,log Pecu %,log Mvcu %,F1(1),F1(2),F1(3),F2(1),F2(2),F2(3),F2(4),F3(1),F3(2),F3(3),F3(4),F3(5),F3(6),F3(7)
Maipo,2,Cs,1,2004,4,23.12756062,1.189492696,21.44553103,8.108231408,161.1717216,3.011145528,57.55792212,1.005582122,11.66324315,3.141025007,0.17352691,3.06551628,2.092879769,5.08247039,1.10,4.052791782,0.0055666,2.456442285,2.08226147,-0.885236626,2.006752743,1.034116232,4.023706854,0.043557044,2.994028245,-1.053196937,1.397678749,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,28.43621501,1.325372687,25.53268793,8.424601578,173.3960312,2.804279471,58.45006972,0.982032398,12.19157956,3.347663509,0.281693693,3.239959511,2.131156185,5.155578176,1.03,4.068172881,-0.018130979,2.500745513,2.211296744,-0.854673072,2.103592745,0.994789419,4.01921141,-0.105220133,2.931806115,-1.154497745,1.364378747,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,17.77342105,1.442536427,16.90847753,8.51313413,142.8350864,1.915468047,34.62557669,0.618094873,7.701443023,2.877704142,0.366402972,2.827815125,2.141610163,4.961690723,0.65,3.54459262,-0.481113317,2.041407717,2.034701615,-0.476599555,1.984812598,1.298607636,4.118688196,-0.193040523,2.701590093,-1.324115844,1.19840519,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,17.79851954,1.464710506,16.89093104,8.681112494,138.7291431,1.820272509,30.89616691,0.497566887,6.312004604,2.879115282,0.381657616,2.826776853,2.161149688,4.932523421,0.60,3.430632128,-0.698025285,1.842453313,2.076708274,-0.420749392,2.024369845,1.35874268,4.130116413,-0.203420788,2.62822512,-1.500432293,1.040046305,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,10.95621333,0.827932135,11.9481747,6.201700372,119.1258949,2.209032463,39.04776388,0.74600642,9.321507781,2.393906723,-0.188824091,2.480578522,1.824823508,4.780180874,0.79,3.664785612,-0.293021073,2.232324395,1.698840255,-0.883890558,1.785512054,1.129757041,4.085114407,0.097488153,2.969719144,-0.988087541,1.537257927,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,11.48970606,0.849254625,12.58593567,6.482710862,125.4460176,2.343775442,41.68855688,0.75244481,9.885147718,2.441451509,-0.163396226,2.532579974,1.869138766,4.831875527,0.85,3.730226676,-0.284427627,2.2910334,1.692285357,-0.912562378,1.783413822,1.119972613,4.082709375,0.102596914,2.981060523,-1.033593779,1.541867248,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,13.77490899,0.766739348,14.93502653,5.901795824,145.5222115,2.776930347,55.04308481,0.938919511,11.9045939,2.622848748,-0.265608368,2.703709228,1.775256682,4.980328731,1.02,4.008116239,-0.063025521,2.476924368,1.700320666,-1.188136451,1.781181146,0.852728599,4.057800649,0.098818044,3.085588157,-0.985553604,1.554396286,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,7.407724197,0.359754443,9.047763876,3.793831123,114.5470012,1.38578875,36.74299778,0.548451698,8.146988087,2.002523266,-1.022333583,2.202517642,1.333376359,4.74098523,0.33,3.603947671,-0.600656065,2.097648299,1.403795007,-1.621061843,1.603789382,0.734648099,4.14225697,-0.272458788,3.005219411,-1.199384325,1.498920039,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,6.784089314,0.525047025,7.298159257,3.727566232,67.20936,1.257067725,20.98249095,0.431316033,5.188940567,1.914580064,-0.644267449,1.98762216,1.315755536,4.207812524,0.23,3.043688326,-0.840914202,1.646529547,1.788793259,-0.770054255,1.861835355,1.189968731,4.082025718,0.102995001,2.91790152,-0.966701007,1.520742741,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,9.721174632,0.469094788,10.67974621,3.957280154,111.6930535,1.331324456,31.38099739,0.528883856,7.923403738,2.274306458,-0.756950424,2.36834907,1.375556959,4.715754515,0.29,3.446202531,-0.636986425,2.069820878,1.699464557,-1.331792325,1.793507169,0.800715058,4.140912614,-0.288667623,2.87136063,-1.211828326,1.494978977,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,29.50482411,1.359174239,26.44847884,8.797246839,180.1332784,2.899961632,59.40325101,1.054520443,12.92188772,3.384553779,0.306877338,3.275198646,2.174438813,5.193697012,1.06,4.084348956,0.053086107,2.558922596,2.213550682,-0.864125759,2.104195548,1.003435716,4.022693915,-0.106305591,2.913345858,-1.11791699,1.387919499,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,9.964439121,0.6770885,11.51421967,5.498020756,123.3866778,1.835016236,38.16713613,0.716074453,8.069446654,2.299022667,-0.389953291,2.443582765,1.704388165,4.815323146,0.61,3.641974835,-0.333971133,2.088084912,1.60673526,-1.082240699,1.751295357,1.012100757,4.123035738,-0.085234078,2.949687427,-1.02625854,1.395797504,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,9.76018866,0.496701261,11.01297036,4.465847519,119.5741585,1.400181548,34.78212411,0.514902816,7.562863212,2.27831173,-0.699766518,2.399073702,1.49645901,4.783936752,0.34,3.54910358,-0.663777103,2.02324985,1.638723894,-1.339354355,1.759485866,0.856871174,4.144348916,-0.302985931,2.909515744,-1.303364939,1.383662014,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,9.508249188,0.643184009,11.00334085,5.26103557,118.0158059,1.743793223,36.20391357,0.67753769,7.637550417,2.252159757,-0.441324423,2.39819894,1.660327884,4.770818564,0.56,3.589167223,-0.389290097,2.033076926,1.606657742,-1.086826438,1.752696925,1.014825869,4.125316548,-0.089439262,2.943665207,-1.034792112,1.387574911,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,5.520021711,0.292581813,6.295903948,2.574532796,70.48600492,0.921915796,20.4266089,0.227402465,3.984390646,1.708381793,-1.229010949,1.839899255,0.945668079,4.255414178,-0.08,3.016838409,-1.481033858,1.382384389,1.606462927,-1.330929814,1.737980388,0.843749212,4.153495311,-0.183220255,2.914919542,-1.582952725,1.280465522,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,10.35563687,0.518552485,11.68442527,4.68597872,126.8074285,1.476600006,36.32857317,0.523212832,7.856193676,2.337530997,-0.656714032,2.458256782,1.544574799,4.842669625,0.39,3.592604571,-0.647766953,2.061302224,1.643201507,-1.351043521,1.763927293,0.85024531,4.148340136,-0.304587337,2.898275082,-1.342096442,1.366972735,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,21.27116106,0.994731375,19.34926398,6.501670426,135.8742829,2.165507819,44.45259641,0.766365023,9.602448086,3.057352214,-0.005282553,2.962654382,1.872059133,4.911730068,0.77,3.794423372,-0.266096691,2.262018075,2.177816645,-0.884818123,2.083118812,0.992523563,4.032194498,-0.106880677,2.914887803,-1.145632261,1.382482505,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,25.0884998,1.379060257,21.94090343,8.262326992,154.6109546,2.508614155,43.92294519,0.983492266,11.03157432,3.222409566,0.321402294,3.088352631,2.111706266,5.040911991,0.92,3.782436853,-0.016645505,2.400761554,2.230164332,-0.670842939,2.096107398,1.119461033,4.048666758,-0.072514762,2.79019162,-1.008890739,1.40851632,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,11.59001114,0.80573466,12.6394314,6.532243424,125.0718704,2.347673102,41.59301509,0.771137667,9.872018267,2.450143619,-0.216000797,2.536821404,1.876750441,4.828888535,0.85,3.727932247,-0.259888365,2.289704318,1.702398717,-0.963745698,1.789076502,1.129005539,4.081143634,0.105679767,2.980187345,-1.007633266,1.541959416,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,17.35179068,1.064468131,18.37618731,7.529875818,161.8532084,2.273275999,52.14883164,0.918734033,13.28819285,2.85369571,0.062475267,2.911055659,2.01887855,5.086689803,0.82,3.954101777,-0.084758608,2.586875885,1.842805724,-0.948414719,1.900165673,1.007988564,4.075799818,-0.189668023,2.943211791,-1.095648594,1.5759859,1,0,0,0,0,0,1,0,1,0,0,0,0,0
