x1,x2,x3,x4,x5,x6,x7,x8
-591.256657774856,-559.3653860810759,-566.5202418250587,-538.6708116097898,-535.5963703394544,-512.3798364508185,-522.8521776026298,-489.22162839706755
-607.0557071781002,-588.5777212702142,-581.1056809570227,-572.5383233866745,-568.1186632800258,-546.9410000891775,-546.3045501124648,-533.7514868330718
-589.0006844673837,-561.7274400979584,-575.2262077868008,-540.9039385168328,-546.9879110381033,-516.9379933435614,-532.1785817451688,-495.4171998353295
-612.7351531615158,-580.8371363867567,-589.7057803117477,-576.5863176549963,-569.0923835018973,-552.4779195978796,-556.9137255396804,-528.4112932859152
-589.5885104431527,-556.5691425089346,-571.5591628639138,-542.13460291642,-541.2197821833611,-517.0556099160788,-529.2719494171884,-492.03967257229976
-595.5926975895532,-560.5187862519781,-575.6045105858647,-553.1138834196056,-543.7957202317893,-527.132154324213,-530.3378021167396,-517.4256029895777
-595.6662770788149,-565.8412548163631,-582.6446591500588,-555.6145129700595,-552.7903387952668,-538.2179977601968,-540.9506753387861,-505.91043405853475
-607.3500978997156,-580.2806164651732,-578.1279601519118,-565.0923771343155,-558.2786248582325,-532.0456095268939,-541.6043461983925,-519.1133343457237
-597.6620125192067,-564.5215933823497,-572.2241580181199,-553.6897047062262,-550.9267079682784,-522.9610281694761,-533.5445225536039,-507.2786257595351
-594.4324357716097,-571.9604444160268,-578.5357615878795,-558.982212222788,-553.1770762275446,-525.2462575885213,-539.4509890115722,-515.5175238216538
-599.6825461022036,-572.6266694579825,-580.0183848739042,-572.3849082684574,-560.0523491918743,-542.8986718561132,-541.9995811750657,-524.7623118776146
-588.8119187045888,-553.8616953692092,-569.6218133857826,-540.3771821879252,-534.687802826066,-515.5619918096644,-516.5041775786993,-487.60061921199645
-587.1465976734198,-545.703454941218,-564.6326217506845,-530.0459118616525,-530.4753571593063,-501.5509176141799,-509.30400011769075,-480.39898319588434
-591.5784716430171,-561.6698475346166,-576.5362777413325,-552.6455889480469,-544.0893682393026,-527.6268950559288,-535.5364180485036,-503.08792933179166
-598.4804944946432,-571.3849401776256,-586.9749091077429,-560.7051704564725,-556.2787402871811,-526.6011931643847,-535.7026014970411,-516.1456117957616
-603.7645662828916,-575.2277101540827,-586.4092220390761,-557.1342763534255,-565.6647123493246,-543.4954164834483,-551.7392431645271,-523.1659610502583
-587.6926607601978,-551.0345982600127,-565.7464413769364,-541.3688875898275,-535.9946529492797,-515.019159919995,-528.6503073316799,-485.77914258302894
-600.3873569812993,-575.7583153042443,-587.0112682083588,-561.1228976596498,-556.3052872008054,-547.299114185094,-547.4932998448297,-520.7598215686431
-593.9853950400209,-560.3230546221233,-573.8235354426878,-549.8038219172271,-549.2030133329358,-522.9352723095842,-538.6724767832214,-500.6963892276441
-605.4625590439739,-578.2766988144523,-586.8476307914141,-567.722624495428,-547.7264168400923,-542.6274860908725,-542.2557404973126,-524.9685174105651
-590.2427682891263,-551.6903747707952,-563.6724392002844,-541.8506176725915,-539.4460828603212,-508.91099100336805,-515.5837819122171,-488.1604738367844
-598.556734713138,-561.7255372582887,-575.3876407845554,-556.2891591429897,-542.8839911855789,-521.8981019495516,-528.3302354887799,-494.37570344993895
-590.8732108804998,-559.0670193251264,-576.5020946838414,-553.4023694632351,-540.3195761020527,-521.9257938797543,-521.6238518883225,-492.555581511285
